_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,DENBORALDIA/TEMPORADA,JARDUERA_EU/ACTIVIDAD_EU,JARDUERA_CAS/ACTIVIDAD_CAS,KATEGORIA_EU/CATEGORIA_EU,KATEGORIA_CAS/CATEGORIA_CAS,IZENA EMATEKO EPEA (HASIERA)_EU/PLAZO INSCRIPCION (DESDE)_EU,IZENA EMATEKO EPEA (HASIERA)_CAS/PLAZO INSCRIPCION (DESDE)_CAS,IZENA EMATEKO EPEA (AMAIERA)_EU/PLAZO INSCRIPCION (HASTA)_EU,IZENA EMATEKO EPEA (AMAIERA)_CAS/PLAZO INSCRIPCION (HASTA)_CAS
29,BFA,DFB,2024/2025,D 5X5/3X3 SASKIBALOIA,BALONCESTO 5X5/3X3 D,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
30,BFA,DFB,2024/2025,A SASKIBALOIA,BALONCESTO A,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
31,BFA,DFB,2024/2025,A SASKIBALOIA,BALONCESTO A,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
32,BFA,DFB,2024/2025,B SASKIBALOIA,BALONCESTO B,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
33,BFA,DFB,2024/2025,B SASKIBALOIA,BALONCESTO B,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
34,BFA,DFB,2024/2025,SASKIBALOIA R,BALONCESTO R,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
35,BFA,DFB,2024/2025,ESKUBALOIA,BALONMANO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
36,BFA,DFB,2024/2025,ESKUBALOIA,BALONMANO,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
37,BFA,DFB,2024/2025,ESKUBALOIA 5,BALONMANO 5,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
38,BFA,DFB,2024/2025,ESKUBALOIA 5,BALONMANO 5,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
39,BFA,DFB,2024/2025,HONDARTZA-ESKUBALOIA,BALONMANO PLAYA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
40,BFA,DFB,2024/2025,HONDARTZA-ESKUBALOIA,BALONMANO PLAYA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
41,BFA,DFB,2024/2025,HONDARTZA-ESKUBALOIA,BALONMANO PLAYA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
42,BFA,DFB,2024/2025,HONDARTZA-ESKUBALOIA,BALONMANO PLAYA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
43,BFA,DFB,2024/2025,TXIKIBOXA,TXIKIBOX,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
44,BFA,DFB,2024/2025,TXIKIBOXA,TXIKIBOX,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
45,BFA,DFB,2024/2025,TXIKIBOXA,TXIKIBOX,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
46,BFA,DFB,2024/2025,TXIKIBOXA,TXIKIBOX,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
47,BFA,DFB,2024/2025,TXIKIBOXA,TXIKIBOX,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
48,BFA,DFB,2024/2025,TXIRRINDULARITZA,CICLISMO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
49,BFA,DFB,2024/2025,TXIRRINDULARITZA,CICLISMO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
