_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,DENBORALDIA/TEMPORADA,JARDUERA_EU/ACTIVIDAD_EU,JARDUERA_CAS/ACTIVIDAD_CAS,KATEGORIA_EU/CATEGORIA_EU,KATEGORIA_CAS/CATEGORIA_CAS,IZENA EMATEKO EPEA (HASIERA)_EU/PLAZO INSCRIPCION (DESDE)_EU,IZENA EMATEKO EPEA (HASIERA)_CAS/PLAZO INSCRIPCION (DESDE)_CAS,IZENA EMATEKO EPEA (AMAIERA)_EU/PLAZO INSCRIPCION (HASTA)_EU,IZENA EMATEKO EPEA (AMAIERA)_CAS/PLAZO INSCRIPCION (HASTA)_CAS
116,BFA,DFB,2024/2025,GIMNASIA TRANPOLINA,GIMNASIA TRAMPOLIN,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
117,BFA,DFB,2024/2025,GIMNASIA TRANPOLINA,GIMNASIA TRAMPOLIN,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
118,BFA,DFB,2024/2025,GIMNASIA TRANPOLINA,GIMNASIA TRAMPOLIN,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
119,BFA,DFB,2024/2025,GIMNASIA TRANPOLINA,GIMNASIA TRAMPOLIN,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
120,BFA,DFB,2024/2025,HOCKEYA,HOCKEY,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
121,BFA,DFB,2024/2025,HOCKEYA,HOCKEY,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
122,BFA,DFB,2024/2025,HOCKEYA,HOCKEY,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
123,BFA,DFB,2024/2025,HEZIKI,HEZIKI,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 25,25 DE OCTUBRE
124,BFA,DFB,2024/2025,HEZIKI,HEZIKI,AURREBENJAMINA,PREBENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 25,25 DE OCTUBRE
125,BFA,DFB,2024/2025,PATIN HOCKEYA,HOCKEY PATINES,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
126,BFA,DFB,2024/2025,PATIN HOCKEYA,HOCKEY PATINES,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
127,BFA,DFB,2024/2025,PATIN HOCKEYA,HOCKEY PATINES,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
128,BFA,DFB,2024/2025,PATIN HOCKEYA,HOCKEY PATINES,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
129,BFA,DFB,2024/2025,HOCKEYA LINEAKO PATINEKIN,HOCKEY PATINES EN LINEA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
130,BFA,DFB,2024/2025,HOCKEYA LINEAKO PATINEKIN,HOCKEY PATINES EN LINEA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
131,BFA,DFB,2024/2025,HOCKEYA LINEAKO PATINEKIN,HOCKEY PATINES EN LINEA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
132,BFA,DFB,2024/2025,HOCKEYA LINEAKO PATINEKIN,HOCKEY PATINES EN LINEA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
133,BFA,DFB,2024/2025,JUDOA,JUDO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
134,BFA,DFB,2024/2025,JUDOA,JUDO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
135,BFA,DFB,2024/2025,JUDOA,JUDO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
136,BFA,DFB,2024/2025,JUDOA,JUDO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
137,BFA,DFB,2024/2025,KARATEA,KARATE,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
138,BFA,DFB,2024/2025,KARATEA,KARATE,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
139,BFA,DFB,2024/2025,KARATEA,KARATE,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
140,BFA,DFB,2024/2025,KARATEA,KARATE,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
141,BFA,DFB,2024/2025,KARATEA,KARATE,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
142,BFA,DFB,2024/2025,BORROKA,LUCHA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
143,BFA,DFB,2024/2025,BORROKA,LUCHA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
144,BFA,DFB,2024/2025,BORROKA,LUCHA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
145,BFA,DFB,2024/2025,BORROKA,LUCHA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
146,BFA,DFB,2024/2025,BORROKA,LUCHA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
147,BFA,DFB,2024/2025,IGERIKETA,NATACION,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
148,BFA,DFB,2024/2025,IGERIKETA,NATACION,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
149,BFA,DFB,2024/2025,IGERIKETA,NATACION,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
150,BFA,DFB,2024/2025,IGERIKETA,NATACION,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
151,BFA,DFB,2024/2025,IGERIKETA,NATACION,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
152,BFA,DFB,2024/2025,IGERIKETA SINKRONIZ.,NATACION SINCRONIZAD,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
153,BFA,DFB,2024/2025,IGERIKETA SINKRONIZ.,NATACION SINCRONIZAD,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
154,BFA,DFB,2024/2025,IGERIKETA SINKRONIZ.,NATACION SINCRONIZAD,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
155,BFA,DFB,2024/2025,IGERIKETA SINKRONIZ.,NATACION SINCRONIZAD,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
156,BFA,DFB,2024/2025,IGERIKETA SINKRONIZ.,NATACION SINCRONIZAD,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
157,BFA,DFB,2024/2025,ORIENTAZIOA,ORIENTACION,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
158,BFA,DFB,2024/2025,ORIENTAZIOA,ORIENTACION,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
159,BFA,DFB,2024/2025,ORIENTAZIOA,ORIENTACION,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
160,BFA,DFB,2024/2025,ORIENTAZIOA,ORIENTACION,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
161,BFA,DFB,2024/2025,ORIENTAZIOA,ORIENTACION,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
162,BFA,DFB,2024/2025,PATINAJE ARTISTIKOA,PATINAJE ARTISTICO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
163,BFA,DFB,2024/2025,PATINAJE ARTISTIKOA,PATINAJE ARTISTICO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
164,BFA,DFB,2024/2025,PATINAJE ARTISTIKOA,PATINAJE ARTISTICO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
165,BFA,DFB,2024/2025,PATINAJE ARTISTIKOA,PATINAJE ARTISTICO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
166,BFA,DFB,2024/2025,PATINAJE ARTISTIKOA,PATINAJE ARTISTICO,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
167,BFA,DFB,2024/2025,PILOTA ZESTAZ,PELOTA CESTA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
168,BFA,DFB,2024/2025,PILOTA ZESTAZ,PELOTA CESTA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
169,BFA,DFB,2024/2025,PILOTA ZESTAZ,PELOTA CESTA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
170,BFA,DFB,2024/2025,PILOTA ZESTAZ,PELOTA CESTA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
171,BFA,DFB,2024/2025,PILOTA ZESTAZ,PELOTA CESTA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
172,BFA,DFB,2024/2025,NESKEN PILOTA PALETA,PELOTA PALETA FEMENINA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
173,BFA,DFB,2024/2025,NESKEN PILOTA PALETA,PELOTA PALETA FEMENINA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
174,BFA,DFB,2024/2025,NESKEN PILOTA PALETA,PELOTA PALETA FEMENINA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
175,BFA,DFB,2024/2025,NESKEN PILOTA PALETA,PELOTA PALETA FEMENINA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
176,BFA,DFB,2024/2025,PADELA,PADEL,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
177,BFA,DFB,2024/2025,PADELA,PADEL,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
178,BFA,DFB,2024/2025,PADELA,PADEL,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
179,BFA,DFB,2024/2025,PADELA,PADEL,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
180,BFA,DFB,2024/2025,ARRANTZA,PESCA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
181,BFA,DFB,2024/2025,ARRANTZA,PESCA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
182,BFA,DFB,2024/2025,ARRANTZA,PESCA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
183,BFA,DFB,2024/2025,ARRANTZA,PESCA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
184,BFA,DFB,2024/2025,ARRANTZA,PESCA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
185,BFA,DFB,2024/2025,PIRAGUISMOA,PIRAGUISMO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
186,BFA,DFB,2024/2025,PIRAGUISMOA,PIRAGUISMO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
187,BFA,DFB,2024/2025,PIRAGUISMOA,PIRAGUISMO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
188,BFA,DFB,2024/2025,PIRAGUISMOA,PIRAGUISMO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
189,BFA,DFB,2024/2025,ESKU PILOTA,PELOTA MANO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
190,BFA,DFB,2024/2025,ESKU PILOTA,PELOTA MANO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
191,BFA,DFB,2024/2025,ESKU PILOTA,PELOTA MANO,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
192,BFA,DFB,2024/2025,ESKU PILOTA,PELOTA MANO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
193,BFA,DFB,2024/2025,ESKU PILOTA,PELOTA MANO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
194,BFA,DFB,2024/2025,NESKEN ESKU PILOTA,PELOTA MANO FEMENINA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
195,BFA,DFB,2024/2025,NESKEN ESKU PILOTA,PELOTA MANO FEMENINA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
196,BFA,DFB,2024/2025,NESKEN ESKU PILOTA,PELOTA MANO FEMENINA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
197,BFA,DFB,2024/2025,NESKEN ESKU PILOTA,PELOTA MANO FEMENINA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
198,BFA,DFB,2024/2025,NESKEN ESKU PILOTA,PELOTA MANO FEMENINA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
199,BFA,DFB,2024/2025,EUSKAL PILOTA H,PELOTA VASCA H,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
200,BFA,DFB,2024/2025,EUSKAL PILOTA H,PELOTA VASCA H,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
201,BFA,DFB,2024/2025,EUSKAL PILOTA H,PELOTA VASCA H,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
202,BFA,DFB,2024/2025,EUSKAL PILOTA H,PELOTA VASCA H,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
203,BFA,DFB,2024/2025,EUSKAL PILOTA H,PELOTA VASCA H,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
204,BFA,DFB,2024/2025,PILOTA PALETA,PELOTA PALETA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
205,BFA,DFB,2024/2025,PILOTA PALETA,PELOTA PALETA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
206,BFA,DFB,2024/2025,PILOTA PALETA,PELOTA PALETA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
207,BFA,DFB,2024/2025,PILOTA PALETA,PELOTA PALETA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
208,BFA,DFB,2024/2025,PILOTA PALETA,PELOTA PALETA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
209,BFA,DFB,2024/2025,ROLLER FREESTYLE,ROLLER FREESTYLE,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
210,BFA,DFB,2024/2025,ROLLER FREESTYLE,ROLLER FREESTYLE,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
211,BFA,DFB,2024/2025,ROLLER FREESTYLE,ROLLER FREESTYLE,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
212,BFA,DFB,2024/2025,ROLLER FREESTYLE,ROLLER FREESTYLE,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
213,BFA,DFB,2024/2025,ROLLER FREESTYLE,ROLLER FREESTYLE,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
214,BFA,DFB,2024/2025,PILOTA ESKU TRINKETEA,PELOTA TRINQUETE MANO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
215,BFA,DFB,2024/2025,PILOTA ESKU TRINKETEA,PELOTA TRINQUETE MANO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
216,BFA,DFB,2024/2025,PILOTA ESKU TRINKETEA,PELOTA TRINQUETE MANO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
217,BFA,DFB,2024/2025,PILOTA ESKU TRINKETEA,PELOTA TRINQUETE MANO,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
218,BFA,DFB,2024/2025,PILOTA ESKU TRINKETEA,PELOTA TRINQUETE MANO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
219,BFA,DFB,2024/2025,PILOTA TRINKETEA,PELOTA TRINQUETE,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
220,BFA,DFB,2024/2025,PILOTA TRINKETEA,PELOTA TRINQUETE,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
221,BFA,DFB,2024/2025,PILOTA TRINKETEA,PELOTA TRINQUETE,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
222,BFA,DFB,2024/2025,PILOTA TRINKETEA,PELOTA TRINQUETE,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
223,BFA,DFB,2024/2025,PILOTA TRINKETEA,PELOTA TRINQUETE,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
224,BFA,DFB,2024/2025,RUGBYA,RUGBY,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
225,BFA,DFB,2024/2025,RUGBYA,RUGBY,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
226,BFA,DFB,2024/2025,RUGBYA,RUGBY,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
227,BFA,DFB,2024/2025,ARRAUNKETA,REMO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
228,BFA,DFB,2024/2025,ARRAUNKETA,REMO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
229,BFA,DFB,2024/2025,ARRAUNKETA,REMO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
230,BFA,DFB,2024/2025,ARRAUNKETA,REMO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
231,BFA,DFB,2024/2025,SKATEBOARD,SKATEBOARD,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,APIRILAK 11,11 DE ABRIL
232,BFA,DFB,2024/2025,SKATEBOARD,SKATEBOARD,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,APIRILAK 11,11 DE ABRIL
233,BFA,DFB,2024/2025,SKATEBOARD,SKATEBOARD,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,APIRILAK 11,11 DE ABRIL
234,BFA,DFB,2024/2025,SKATEBOARD,SKATEBOARD,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,APIRILAK 11,11 DE ABRIL
235,BFA,DFB,2024/2025,SKATEBOARD,SKATEBOARD,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,APIRILAK 11,11 DE ABRIL
236,BFA,DFB,2024/2025,SURFA,SURF,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
237,BFA,DFB,2024/2025,SURFA,SURF,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
238,BFA,DFB,2024/2025,SURFA,SURF,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
239,BFA,DFB,2024/2025,SURFA,SURF,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
240,BFA,DFB,2024/2025,SURFA,SURF,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
241,BFA,DFB,2024/2025,SALBAMENDU ETA SOROSPENA,SALVAMENTO Y SOCORRISMO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
242,BFA,DFB,2024/2025,SALBAMENDU ETA SOROSPENA,SALVAMENTO Y SOCORRISMO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
243,BFA,DFB,2024/2025,SALBAMENDU ETA SOROSPENA,SALVAMENTO Y SOCORRISMO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
244,BFA,DFB,2024/2025,SALBAMENDU ETA SOROSPENA,SALVAMENTO Y SOCORRISMO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
245,BFA,DFB,2024/2025,TENISA,TENIS,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 11,11 DE OCTUBRE
246,BFA,DFB,2024/2025,TENISA,TENIS,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 11,11 DE OCTUBRE
247,BFA,DFB,2024/2025,TENISA,TENIS,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 11,11 DE OCTUBRE
248,BFA,DFB,2024/2025,TENISA,TENIS,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 11,11 DE OCTUBRE
249,BFA,DFB,2024/2025,TENISA,TENIS,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 11,11 DE OCTUBRE
250,BFA,DFB,2024/2025,ARKU-TIRUA,TIRO CON ARCO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
251,BFA,DFB,2024/2025,ARKU-TIRUA,TIRO CON ARCO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
